   903   826  616.44266  145   60          -  606.14794      -  58.4   80s
   916   836  718.89141  209   52          -  606.14794      -  66.8   85s
   922   840  738.57991  263   46          -  606.14794      -  66.4   90s
   939   855  606.34445   53   83          -  606.34445      -  68.6   95s
  1563  1253  625.12453   81   71          -  606.41193      -  64.5  100s
H 2529  1799                    1711.6028757  606.41193  64.6%  53.6  104s
H 2614  1765                    1419.9743466  606.41193  57.3%  53.1  105s
H 2947  1874                    1336.0586227  606.44687  54.6%  51.5  107s
H 3066  1899                    1331.6349602  606.44687  54.5%  52.2  108s
  3201  2073 1049.81295  111   37 1331.63496  606.54711  54.5%  51.9  110s
H 3400  2130                    1298.4960090  606.58947  53.3%  50.5  113s
